,msm_bin,msm_geom,em_bin,em_geom
CTSH,0,1,0,0
CL,1,1,0,0
CMCSA,0,1,0,1
CAG,0,1,1,1
COP,0,1,0,0
ED,0,1,0,1
STZ,1,1,1,1
COO,0,1,1,1
CPRT,0,1,1,1
GLW,0,1,1,1
CSGP,1,1,0,0
COST,1,1,1,0
CTRA,1,0,1,0
CCI,0,1,1,1
CSX,0,1,1,1
CMI,0,1,0,1
CVS,0,1,0,1
DRI,1,1,1,1
DVA,1,1,1,1
DECK,0,1,0,1
DE,0,1,0,1
DAL,1,1,0,0
DVN,0,0,0,0
DXCM,0,1,1,0
DLR,0,1,1,1
DFS,0,1,1,1
DG,1,1,1,0
DLTR,0,1,1,0
D,0,0,0,0
DPZ,0,1,1,1
DOV,1,1,0,1
DHI,0,1,0,1
DTE,0,1,0,0
DUK,1,1,0,1
DD,1,1,1,1
EMN,0,1,0,1
ETN,0,1,0,0
EBAY,1,1,1,1
ECL,0,1,1,1
EIX,1,1,1,0
EW,0,1,0,1
EA,1,1,1,1
ELV,0,1,0,1
EMR,0,1,0,1
ETR,0,1,0,1
EOG,1,1,0,1
EQT,0,1,1,1
EFX,0,1,1,0
EQIX,0,1,1,1
